intent,entityName,energy_related,company_specific
ID_electricityMix,noneEntity,1,0
ID_electricityTax,noneEntity,1,0
ID_energyRate,noneEntity,1,0
ID_gasTax,noneEntity,1,0
ID_generalInfo,noneEntity,0,1
ID_gridUtilisationCosts,noneEntity,1,0
ID_grossPriceAndNetPrice,noneEntity,1,0
ID_invoiceAmount,noneEntity,0,1
ID_kwkgApportionment,noneEntity,1,0
ID_marketLocation,noneEntity,1,0
ID_meteringLocation,noneEntity,1,0
ID_nevApportionment,noneEntity,1,0
ID_offshoreApportionment,noneEntity,1,0
ID_priceComposition,noneEntity,1,0
ID_priceComposition,ProductType_L,1,0
ID_taxesAndDuties,noneEntity,1,0
ID_thermalGasBilling,noneEntity,1,0
immediateRelief,noneEntity,1,0
infoAboutPriceIncrease,noneEntity,0,0
infoAboutPriceIncrease,priceAdjustmentLetter_L,0,1
infoCompensationEEG,CompensationType_L,1,0
infoCompensationEEG,CompensationType_L,1,0
infoCompensationEEG,CompensationType_L,1,0
infoCompensationEEG,noneEntity,1,0
infoCompensationRateEEG,noneEntity,1,0
infoFeedInManagement,noneEntity,1,0
infoGetCompensationEEG,noneEntity,1,0
infoMastr,noneEntity,1,0
infoPVModule,noneEntity,1,0
infoWhenMeterInstallation,adverbialMarker_L,0,1
infoWhenMeterInstallation,meterType_L,0,1
infoWhenMeterInstallation,meterType_L,0,1
infoWhenMeterInstallation,meterType_L,0,1
infoWhenMeterInstallation,noneEntity,0,1
installationMethodHC,noneEntity,0,1
installHeatPump,noneEntity,0,1
internetAvailability,noneEntity,0,1
internetConnectionIssues,noneEntity,0,1
internetPerformanceIssues,noneEntity,1,0
internetThrotteling,noneEntity,0,1
invoiceExpiration,noneEntity,0,0
invoiceExplanation,noneEntity,0,0
isHCPossible,noneEntity,0,1
isolatePowerLine,noneEntity,0,1
kiloWatt,kiloWatt_L,1,0
kiloWatt,kiloWatt_L,1,0
kiloWatt,noneEntity,1,0
lineInformation,noneEntity,0,1
loginIssues,noneEntity,0,1
lostAndFound,noneEntity,0,1
lumpSum,noneEntity,0,1
makeOrManageAppointment,noneEntity,0,1
measuringConceptEEG,noneEntity,0,0
meterBlockage,noneEntity,0,0
meterCalibration,noneEntity,1,0
meterCosts,noneEntity,0,1
meterDataDeletion,noneEntity,0,1
meterDataProcessing,noneEntity,0,0
meterInstallationNecessity,meterType_L,1,0
meterInstallationNecessity,noneEntity,1,0
meterInstallationRequirements,noneEntity,1,0
meterPIN,noneEntity,0,0
meterPowerPulse,noneEntity,1,0
meterReadingOverview,noneEntity,0,1
meterReadingProblem,noneEntity,0,1
meterSealing,noneEntity,1,0
meterTypeInfo,meterType_L,1,0
meterTypeInfo,meterType_L,1,0
meterTypeInfo,meterType_L,1,0
meterTypeInfo,meterType_L,1,0
meterTypeInfo,meterType_L,1,0
meterTypeInfo,meterType_L,1,0
meterTypeInfo,noneEntity,0,0
microEmptyConduit,noneEntity,1,0
missingEmail,noneEntity,0,1
movingOverview,noneEntity,0,1
movingStatus,noneEntity,0,1
MR_belatedMeterReading,noneEntity,0,1
MR_brokenMeter,meterType_L,0,1
MR_brokenMeter,noneEntity,0,1
MR_confirmationMessage,noneEntity,0,1
MR_differenceHTNT,malfunction_L,0,1
MR_differenceHTNT,noneEntity,1,0
MR_implausibleMeterReading,noneEntity,1,0
MR_meterLocation,meterLocGuidelines_Reg,1,0
MR_meterLocation,noneEntity,1,0
MR_meterNumberLocation,noneEntity,1,0
MR_noReadingRequest,noneEntity,0,1
MR_OBISnumber,noneEntity,1,0
MR_PvMeterDefinition,noneEntity,1,0
MR_readingInstruction,meterType_L,1,0
MR_readingInstruction,noneEntity,1,0
MR_readingTime,noneEntity,0,1
MR_tellMeterReading,meterType_L,1,0
,,,
MR_tellMeterReading,noneEntity,0,1
MR_wrongMeterNumber,noneEntity,0,1
MV_absentInfoForMoving,noneEntity,0,1
MV_afterMovingInfo,noneEntity,0,1
MV_cancelContractWhenMoving,noneEntity,0,1
MV_continueContractAfterMoving,noneEntity,0,1
MV_executeMoving,noneEntity,0,1
MV_generalMovingInfo,noneEntity,0,1
MV_noMoving,noneEntity,0,1
MV_reportEmptyFlat,noneEntity,0,1
MV_timeTillMoving,noneEntity,1,1
MV_whyTellMoving,noneEntity,1,1
newHouseOwner,noneEntity,0,1
None,noneEntity,0,0
noProductOffering,noneEntity,0,1
oilTankDisposal,noneEntity,1,1
PCOSinfo,noneEntity,1,1
pelletFuel,noneEntity,1,1
personalContributions,noneEntity,1,1
powerPriceBrake,noneEntity,1,1
priceControlDisbursement,noneEntity,0,1
pricesInfo,noneEntity,1,1
pricesInfoFuture,noneEntity,1,1
pricesInfoHistoric,noneEntity,1,1
primaryEnergyFactor,noneEntity,1,1
privateConsumptionBilling,energyConsumption_L,0,1
privateConsumptionBilling,energyConsumption_L,0,1
privateConsumptionBilling,noneEntity,0,1
processingStatusEEG,noneEntity,0,1
projectedConsumption,noneEntity,0,1
projectedConsumption,priceControls,0,1
projectedConsumption,priceControls,0,1
publicTransportSubscriptions,noneEntity,0,1
publicTransportTickets,noneEntity,0,1
publicTransportTickets,ticketType_L,0,1
PVRequirement,noneEntity,1,1
PVSystemType,noneEntity,1,0
PVSystemType,pvType_L,1,1
PVSystemType,pvType_L,1,1
